Question,Answer
"What is the atomic number of neon?","The atomic number of neon is 10."
"Why are Times Square and Las Vegas said to be 'awash with neon'?","Because of the prevalent use of neon lights in their signage and displays."
"How can you identify a tube filled with neon?","A tube filled with neon glows bright orange-red when a high-voltage arc is passed through it."
"Can 'neon' lights show other colors? If so, what do they likely contain?","Yes. If a 'neon' light shows any color other than bright orange-red, it likely contains gases like mercury vapor or krypton, not neon."
"What unique characteristic helps to identify genuine neon lights, according to Oliver Sacks?","Genuine neon lights can be identified by their unique spectrum, which is different from any other element or phosphor."
"What piece of equipment would you use to observe the unique spectrum of neon lights as described by Oliver Sacks?","A pocket spectroscope can be used to observe the unique spectrum of neon lights."
"What was the first continuous-beam laser in commercial use, involving neon?","Helium-neon (HeNe) lasers were the first continuous-beam lasers in commercial use."
"Has the application of helium-neon lasers diminished, and if so, what has replaced them?","Yes, helium-neon lasers have been largely replaced by incredibly cheap laser diodes in many applications."
"Why might neon be perceived as an important element?","Neon lights are so vivid and widespread that they create the impression that neon is an important element."
"In reality, how essential is neon based on its applications?","Neon is not very essential, as it has very few applications beyond its light emission when stimulated with electricity."
"What sets neon apart from other elements in terms of chemical reactivity?","Neon is the least reactive of all elements and refuses to react with any others."
"In the text, which other element is contrasted with neon to highlight neon's lack of reactivity?","Sodium is contrasted with neon to highlight neon's lack of reactivity."
"What is implied about sodium's reactivity from the last sentence of the text?","The implication is that sodium is very reactive, as opposed to neon's non-reactivity."
"How does the text describe the intensity of neon's application in society?","The text describes neon's application as vivid and widespread throughout society, making it seem ubiquitous."
"What condition is necessary for neon gas to glow in the described manner?","Neon gas glows bright orange-red when it is in low pressure inside a tube and a high-voltage arc runs through it."
"What is the atomic number of sodium?","The atomic number of sodium is 11."
"Why is sodium considered the most explosive of the alkali metals?","Sodium is the most explosive of the alkali metals because it rapidly generates hydrogen gas which ignites with a tremendous bang when thrown into water."
"What makes sodium the best tasting of the alkali metals?","Sodium forms sodium chloride or table salt with chlorine, which is widely considered the tastiest of the alkali metal chloride salts."
"Which element combines with sodium to form table salt?","Chlorine combines with sodium to form table salt."
"What is the atomic number of chlorine?","The atomic number of chlorine is 17."
"How does potassium chloride compare to sodium chloride in terms of taste?","Potassium chloride is sold as a salt substitute but has a bitter note compared to the saltiness of sodium chloride."
"What negative taste aspect does potassium chloride have?","Potassium chloride adds a bitter note to its saltiness."
"In what ways are rubidium chloride and cesium chloride different in taste from sodium chloride?","Rubidium chloride and cesium chloride are progressively less salty and more bitter than sodium chloride."
"What taste is associated with lithium chloride?","Lithium chloride is sour."
"For what purpose is pure sodium metal mainly used in the chemical industry?","Pure sodium metal is mainly used as a reducing agent in the chemical industry."
"In some nuclear reactors, how is heat transferred from the reactor core to the steam turbines?","In some nuclear reactors, liquid sodium is used to transfer heat from the reactor core to the steam turbines."
"What are the risks associated with using liquid sodium in nuclear reactors?","There have been spectacular sodium leaks, indicating the risky nature of using liquid sodium in nuclear reactors."
"How do sodium vapor lamps compare to other types in terms of electricity-to-light efficiency?","Sodium vapor lamps create more light per unit of electricity than nearly any other type."
"What is a visual consequence of being under yellowish sodium vapor lamps?","People look dead when under yellowish sodium vapor lamps."
"Why is sodium not used for structural purposes?","Sodium is used only for its chemical properties, unlike magnesium, which is used for both its chemical and structural properties."
"How do mischief makers around the world use sodium?","Mischief makers use sodium for creating attractive explosions by throwing it into lakes and rivers."
"What property is magnesium recognized for that sodium isn't?","Magnesium is recognized for both its chemical and structural properties, while sodium is only used for its chemical properties."
"What is the atomic number of magnesium?","The atomic number of magnesium is 12."
"Why is beryllium not considered as marvelous as magnesium?","Beryllium is not considered marvelous due to its high cost and toxicity."
"List some properties of magnesium that make it a valuable structural metal.","Magnesium is moderately priced, strong, light, and easy to machine."
"What is a significant drawback of using magnesium in manufacturing?","A significant drawback of using magnesium is that it's highly flammable."
"How could magnesium be ignited using common household items?","A ribbon of magnesium can be lit with a match because it is highly flammable."
"Why were early photographic flashes dangerous?","Early photographic flashes involved blowing magnesium powder into a flame, which was explosive."
"What do many modern pyrotechnic mixtures include to create intense effects?","Many modern pyrotechnic mixtures include magnesium powder to create a bright and loud report."
"Despite its flammability, why is magnesium still used in race cars and airplanes?","In large solid pieces, magnesium is difficult to ignite as the bulk metal conducts heat away fast enough to prevent lighting."
"What tragic event involved a magnesium component in 1955?","In 1955, eighty-one people died at Le Mans when a magnesium-bodied car crashed into the stands and caught fire."
"Did the 1955 Le Mans disaster cause the race to stop?","No, the event was not considered serious enough to stop the race."
"What are 'mag wheels' often made from?","'Mag wheels' are often made from an aluminum alloy that contains a few percent magnesium."
"How do 'mag wheels' differ in weight from true magnesium wheels?","'Mag wheels' are 60 percent heavier than true magnesium wheels."
